ID_MD	FORM	CAPITOL	RIND
72481	47	1037	0000000
72329	47	1037	0100000
72606	47	1037	0101000
73147	47	1037	0110000
72914	47	1037	0111000
72715	47	1037	0111001
72872	47	1037	0111002
72631	47	1037	0112000
73522	47	1037	0112001
72864	47	1037	0112002
72513	47	1037	0112003
72422	47	1037	0120000
73109	47	1037	0121000
73533	47	1037	0122000
72381	47	1037	0123000
72079	47	1037	0125000
73711	47	1037	0126000
72452	47	1037	0126001
73534	47	1037	0130000
73590	47	1037	0131000
73387	47	1037	0140000
73486	47	1037	0141000
72223	47	1037	0141001
73080	47	1037	0142000
73317	47	1037	0142001
72830	47	1037	0142002
72986	47	1037	0143000
73523	47	1037	0144000
72677	47	1037	0145000
73712	47	1037	0145001
72752	47	1037	0146000
72900	47	1037	0146001
72224	47	1037	0146002
72938	47	1037	0150000
73371	47	1037	0151000
72161	47	1037	0152000
72809	47	1037	0152001
72506	47	1037	0152002
73570	47	1037	0153000
72831	47	1037	0153001
73033	47	1037	0154000
72832	47	1037	0154001
72115	47	1037	0300000
72162	47	1037	0301000
72020	47	1037	0310000
73264	47	1037	0311000
73318	47	1037	0501000
72716	47	1037	0510000
72915	47	1037	1000000
73238	47	1037	1001000
72607	47	1037	1001001
73688	47	1037	1001002
72021	47	1037	1001003
73434	47	1037	1001004
72678	47	1037	1001005
72581	47	1037	1010000
72717	47	1037	1010001
72833	47	1037	1011000
72665	47	1037	1012000
72810	47	1037	1012001
73487	47	1037	1013000
72080	47	1037	1013001
73435	47	1037	1014000
72916	47	1037	1014001
73713	47	1037	1015000
72296	47	1037	1015001
72790	47	1037	1015002
72255	47	1037	1015003
73617	47	1037	1016000
72423	47	1037	1017000
72453	47	1037	1017001
73265	47	1037	1018000
72297	47	1037	1019000
73014	47	1037	1020000
72917	47	1037	1020001
72811	47	1037	1021000
73266	47	1037	1022000
73436	47	1037	1023000
73197	47	1037	1024000
72632	47	1037	1025000
72022	47	1037	1026000
73239	47	1037	1026001
72987	47	1037	1027000
72514	47	1037	1028000
72298	47	1037	1029000
73198	47	1037	1030000
72400	47	1037	1031000
72468	47	1037	1031001
72582	47	1037	1032000
73488	47	1037	1032001
73459	47	1037	1033000
73621	47	1037	1034000
73714	47	1037	1034001
73659	47	1037	1034002
72338	47	1037	1111111
72865	47	1037	1200000
72163	47	1037	1201000
73489	47	1037	1210000
72666	47	1037	1211000
72081	47	1037	1212000
72424	47	1037	1213000
72311	47	1037	1214000
72091	47	1037	1214001
73591	47	1037	1214002
73689	47	1037	1214003
73303	47	1037	1215000
72023	47	1037	1400000
73319	47	1037	1401000
73121	47	1037	1402000
72299	47	1037	1410000
73535	47	1037	1411000
72425	47	1037	1412000
73240	47	1037	1412001
73536	47	1037	1413000
72225	47	1037	1413001
72037	47	1037	1414000
72758	47	1037	1414001
73592	47	1037	1414002
73061	47	1037	1415000
72426	47	1037	1416000
73081	47	1037	1417000
72918	47	1037	1417001
72038	47	1037	1418000
73320	47	1037	1419000
73199	47	1037	1420000
72024	47	1037	1421000
73156	47	1037	1422000
73015	47	1037	1423000
72300	47	1037	1424000
72301	47	1037	1424001
72312	47	1037	1424002
72469	47	1037	1425000
72256	47	1037	1426000
73360	47	1037	1426001
73395	47	1037	1427000
73267	47	1037	1427001
72515	47	1037	1428000
73268	47	1037	1428001
72039	47	1037	1429000
72901	47	1037	1429001
73622	47	1037	1430000
73460	47	1037	1431000
73122	47	1037	1432000
73062	47	1037	1433000
72267	47	1037	1434000
72427	47	1037	1435000
73660	47	1037	1700000
73715	47	1037	1701000
72040	47	1037	1701001
72873	47	1037	1710000
